City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
615,Tual,ID,81.19,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
621,Marang,MY,78.71,very heavy rain,5.2056,103.2059,DBarakah Homestay
623,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
627,Maragogi,BR,75.63,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
628,Batticaloa,LK,80.31,overcast clouds,7.7102,81.6924,Grand Star Guest House
632,Kattivakkam,IN,78.89,overcast clouds,13.2167,80.3167,Euronova Freezer
633,Palmer,US,78.4,broken clouds,42.1584,-72.3287,Wedgewood Motel
637,Cockburn Town,TC,81.79,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
639,Hami,CN,78.89,overcast clouds,42.8,93.45,Laoyutang Resort
640,Babu,CN,75.0,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
641,Sunrise,US,87.03,scattered clouds,26.1577,-80.2861,"Holiday Inn Express & Suites Ft. Lauderdale-Plantation, an IHG Hotel"
644,San Policarpo,PH,78.51,overcast clouds,12.1791,125.5072,Agapita M. Nicart
645,Marsh Harbour,BS,81.59,clear sky,26.5412,-77.0636,Abaco Beach Resort
654,Palmas Bellas,PA,79.57,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
663,Broome,US,75.54,clear sky,42.2506,-75.833,Chenango Valley State Park
666,Lampang,TH,78.89,broken clouds,18.3333,99.5,Mrs Luis Guest House
673,Teotitlan,MX,79.3,overcast clouds,18.1319,-97.0767,Hotel RYO centro
674,Zorritos,PE,75.49,broken clouds,-3.6805,-80.6782,Hotel Pinamar
677,Tautira,PF,78.71,light rain,-17.7333,-149.15,Pension Oaoa
679,Nong Kung Si,TH,81.82,broken clouds,16.65,103.3,บ้าน พี่บิ๊ก
680,Labuhan,ID,76.51,overcast clouds,-6.8844,112.2051,DoubleFAG
683,Itarema,BR,78.3,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
684,Naze,JP,76.12,broken clouds,28.3667,129.4833,Shishime Hotel
686,Coro,VE,83.19,overcast clouds,11.4045,-69.6734,Federal
688,Rojhan,PK,83.79,clear sky,28.6868,69.9534,Nawab Imam Bux Khan Bangla
691,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
692,Robore,BO,83.39,clear sky,-18.3333,-59.75,Hotel Las Lajas
693,Cam Ranh,VN,78.76,clear sky,11.9214,109.1591,OYO 598 Peony Hotel
700,Yuzhou,CN,82.6,overcast clouds,34.1628,113.4639,Hancheng Wen Yuan Ge Hotel
701,Lhokseumawe,ID,77.0,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
703,Robertsport,LR,80.15,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
